condition,wins,n,mean_pct,p_sign,p_wilcoxon
curated,33,40,-2.1433563642829148,4.2277022657799534e-05,1.5819750842638314e-08
dpp,40,40,-3.534215924649427,1.8189894035458565e-12,1.8189894035458565e-12
kcenter,40,40,-3.4470186889074297,1.8189894035458565e-12,1.8189894035458565e-12
degenerate,1,40,5.828729996544058,7.457856554538012e-11,5.4569682106375694e-12
random_nogate,24,40,0.024984996640060507,0.26818725105476915,0.5185272742000961
