episode_hash,n_frames,duration_s,nan_left_ee,nan_right_ee,nan_head,nan_left_kp,nan_right_kp,nan_max,frozen_frac_left_ee,frozen_run_left_ee,frozen_frac_right_ee,frozen_run_right_ee,frozen_frac_head,frozen_run_head,frozen_frac_max,frozen_run_max_s,path_len_left,speed_mean_left,net_disp_left,path_len_right,speed_mean_right,net_disp_right,motion_energy,path_len_total,has_annotations,f_duration_s,f_log_duration,f_left_path,f_left_speed_mean,f_left_speed_std,f_left_speed_p90,f_left_acc_std,f_left_ext_x,f_left_ext_y,f_left_ext_z,f_left_bbox_vol,f_left_centroid_x,f_left_centroid_y,f_left_centroid_z,f_left_active_frac,f_right_path,f_right_speed_mean,f_right_speed_std,f_right_speed_p90,f_right_acc_std,f_right_ext_x,f_right_ext_y,f_right_ext_z,f_right_bbox_vol,f_right_centroid_x,f_right_centroid_y,f_right_centroid_z,f_right_active_frac,f_bimanual_speed_corr,f_hand_dist_mean,f_hand_dist_std,f_hand_dist_min,f_left_aperture_mean,f_left_aperture_std,f_left_aperture_range,f_right_aperture_mean,f_right_aperture_std,f_right_aperture_range,f_head_path,f_head_ext,f_head_rot_energy,lab,operator,scene,num_frames,task_description,objects,rule_tracking_dropout,rule_frozen_tracker,rule_too_short,rule_no_motion,rule_runaway_length,rule_suspiciously_short,drop_reason,keep
2025-09-20-17-42-51-000000,2808.0,93.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.18436557814052,0.5897865932825849,0.2695188238037217,68.83909658064886,0.7357224429709532,0.2704312997962146,0.6627545181267691,124.0234621587894,0.0,93.6,4.549657476057832,55.18436557814052,0.5897865932825849,0.8692959728965497,1.5064063855691074,37.82038161670762,0.5392958745360374,0.3197573348879814,0.7225444922223687,0.1245983262588673,0.012722956607028,-0.229954509974651,-0.5281858884200766,0.9960812255076594,68.83909658064886,0.7357224429709532,1.051091715704633,1.6946255657289082,46.604274846682145,0.379108845256269,0.4442443773150444,0.7444482455030084,0.1253777199849802,-0.0991800800716256,0.0737190175240178,-0.5815802805133673,0.9942999643747772,0.8202617186317294,0.3473333167880508,0.0659937462498221,0.1651379502159252,0.1065394551398229,0.0062918390496696,0.027336504096174,0.1042403037752374,0.0058058725379199,0.0266185755809942,10.115493711824112,0.3670344263080259,0.1365810489539454,rl2,ucKevMbqCXuuySSS,1,2808.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-20-17-47-54-000000,2815.0,93.83333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.44196339157892,0.4631339380765343,0.4127702485576877,58.422817972707755,0.6228445412868631,0.444450062724774,0.5429892396816988,101.86478136428669,0.0,93.83333333333331,4.5521209648982754,43.44196339157892,0.4631339380765343,1.0417563724137742,1.027599383194289,43.500848379094165,0.8675367869436741,0.638343695551157,0.706939522176981,0.3914936616828507,-0.0336107029961703,-0.3301815159830594,-0.6305183734721628,0.964818763326226,58.422817972707755,0.6228445412868631,0.9721849292522384,1.5518374527218863,41.65168246618695,0.5220329519361258,0.6641258597373962,0.7977947406470776,0.2765919127356017,-0.2031292033006253,0.060201970668194,-0.6331628235252194,0.9694385216773276,0.7745579149612628,0.4494302463921044,0.1248148027396053,0.1096264578887021,0.1031567443996902,0.0047898283213894,0.0306139414844761,0.1008599835257729,0.0066349931873169,0.0311551614115562,10.756382314540256,0.4999368052485828,0.1364825258381708,rl2,ucKevMbqCXuuySSS,1,2815.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-20-18-05-52-000000,3383.0,112.76666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.563921865867314,0.3065989520922588,0.5915582406215362,63.76614695220476,0.5656370220479428,0.2660946696712254,0.4361179870701008,98.33006881807208,0.0,112.76666666666668,4.734149567244551,34.563921865867314,0.3065989520922588,0.8517016518501878,0.5385246282835504,34.89338146026196,0.5314617082476616,0.373230516212061,0.7946913065388799,0.157633161800885,0.0121092692880879,-0.2522250570525739,-0.5988766185026296,0.9858072146658782,63.76614695220476,0.5656370220479428,1.0247603739287363,1.4744590207748642,44.11696748296911,0.5125686638057232,0.412531703710556,0.6695302780717611,0.1415727290905935,-0.1052743795083105,0.0194358673457526,-0.6357227158497335,0.989946777054997,0.8323542481710906,0.3157496068926197,0.0817444993539912,0.0228184587660008,0.1069473438950746,0.0052765036556751,0.0332221261440568,0.1020391840023959,0.0070610650008554,0.0346082696736318,11.81870612028893,0.4608127863705412,0.1455092961449028,rl2,ucKevMbqCXuuySSS,2,3383.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-20-18-11-35-000000,3136.0,104.53333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.781391657358455,0.5050850876302244,0.1428139966255226,63.476610225923935,0.6074316768030998,0.1298412139159541,0.5562583822166621,116.2580018832824,0.0,104.53333333333332,4.659026858778802,52.781391657358455,0.5050850876302244,0.9128903202351584,1.3140910202798957,40.04891315736652,0.3560160081833601,0.2289267557207495,0.8968355022370815,0.0730935191658611,0.0160600591085052,-0.1777605142061493,-0.644532125123672,0.9891547049441788,63.476610225923935,0.6074316768030998,1.0365209264669422,1.3373732493364596,46.72496015886224,0.2858841316774487,0.6605214588344097,0.687490176409483,0.1298205600386477,-0.0569943836054168,0.0717887353240833,-0.6419979813036495,0.9891547049441788,0.8400471982480975,0.2691181840848635,0.0504257653390967,0.1258234884360478,0.1079039744771489,0.0052609196303502,0.0235371194950705,0.1049825505145612,0.0063763344525743,0.028295877792976,9.964803601982634,0.33246877733508,0.116658171678445,rl2,ucKevMbqCXuuySSS,2,3136.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-20-18-39-18-000000,3712.0,123.73333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.24002493985644,0.4142281725129865,0.3671894126598251,73.32260191793964,0.592745367162002,0.4088821698895035,0.5034867698374943,124.56262685779608,0.0,123.73333333333332,4.82617812517188,51.24002493985644,0.4142281725129865,0.8343241282406783,0.9691723800863214,37.5560642441664,0.3121734522283077,0.3647595765069127,0.5039643123745918,0.0573855374530009,-0.1495474770824236,-0.1950866079230387,-0.5489934813632662,0.9857181352735112,73.32260191793964,0.592745367162002,0.8892392333003848,1.6638292308967788,42.84581967747614,0.329591003479436,0.4087786376476288,0.560105575248599,0.0754628905026654,-0.120460196644703,0.099062378292564,-0.5401745537287909,0.981945567232552,0.8428406023967847,0.2997370952587853,0.0617747406198004,0.1118340561536257,0.1065558912018078,0.0044319278234818,0.0331470227594777,0.1039996711813728,0.0056751123022624,0.0293347541170734,8.098566011299997,0.2751782750499162,0.0952679280891179,rl2,ucKevMbqCXuuySSS,3,3712.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-20-18-44-29-000000,2350.0,78.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.927196081855996,0.4332975233953511,0.1803127447241172,60.29666867158255,0.7700723968273633,0.232129165594968,0.6016849601113572,94.22386475343856,0.0,78.33333333333333,4.373658385003365,33.927196081855996,0.4332975233953511,1.115146338573337,0.8103110751425467,47.07181323921549,0.3024180233478546,0.5606627007946372,0.7157176807522774,0.1213531576087473,0.0937010813377639,-0.326743924653435,-0.6208186883495209,0.9970200085142614,60.29666867158255,0.7700723968273633,1.2001542505700065,1.88329677800745,53.51995113310931,0.6464197728782892,0.7087215967476368,0.716906082816422,0.3284373691991279,-0.2062988289736924,-0.1369535508305775,-0.6297416997205545,0.9970200085142614,0.8662005882022994,0.371711226904982,0.1220941393162375,0.0936763495329374,0.1053030007747822,0.0047826389312952,0.0289731189587329,0.1015459684395442,0.0064040894734132,0.0304787089473714,12.895250135861511,0.5614181333878489,0.3104781513372975,rl2,ucKevMbqCXuuySSS,3,2350.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-20-18-59-55-000000,2343.0,78.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.27368178205782,0.5543170168495878,0.0394239173600695,53.93889348810991,0.6909337338357375,0.088670208185527,0.6226253753426627,97.21257527016772,0.0,78.1,4.370712874773608,43.27368178205782,0.5543170168495878,0.8770841690421962,1.4155510151761328,37.80445301724276,0.5889042988419533,0.2700557373464107,0.6414187923073769,0.1020093106265603,0.0379439353588308,-0.1838223072785663,-0.5864842428491506,0.995730145175064,53.93889348810991,0.6909337338357375,0.9612756853076272,1.766973200025291,43.923917877118434,0.4575762543827295,0.4719908200204372,0.6441178061068058,0.1391112765399619,-0.1186577833326779,0.1252434052681922,-0.5951801192816752,0.9987190435525192,0.8119183507080935,0.3558777146120997,0.1081167639297671,0.1230215910900556,0.1075403946216194,0.0063388268317425,0.0345327763850981,0.1067024155491339,0.0062316073735627,0.0280445344423326,9.349271629449124,0.3700942298181257,0.1287982678305145,rl2,ucKevMbqCXuuySSS,4,2343.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-20-19-04-22-000000,2472.0,82.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.615716725655773,0.3474186571305841,0.2188494648998959,53.17249470210312,0.6455584140279618,0.6715774184827901,0.4964885355792728,81.78821142775888,0.0,82.4,4.423648309364701,28.615716725655773,0.3474186571305841,0.7587497529318721,0.7125978369914607,30.15374638175981,0.2381900809705257,0.339255650062114,0.6330104842782021,0.0511518875763525,0.1165091799456071,-0.2587346803522397,-0.6808089134268294,0.9915014164305948,53.17249470210312,0.6455584140279618,0.8937931173771064,1.5577271341107324,38.757637421428434,0.4061102792620659,0.4325910583138466,0.6745330523699522,0.118501747753102,-0.1397533409546497,-0.0964200128955634,-0.6833232746016488,0.9975718332658844,0.8001376615784163,0.3097755262056165,0.0726996630508301,0.1096859153374604,0.1052919867931596,0.0038569189103964,0.0299270169799996,0.1017136772928447,0.0066580393033642,0.02995589119789,8.760459901025499,0.4304088752623807,0.1021169324660285,rl2,7UD-MlQsDB8PB3X-,4,2472.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-20-19-53-07-000000,2226.0,74.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.38613119698533,0.4501500835548584,0.6014410289400783,45.81826115660059,0.6177743077294461,0.5840016930740102,0.5339621956421523,79.20439235358592,0.0,74.2,4.320151230955794,33.38613119698533,0.4501500835548584,0.7873556651879157,0.9765170490397244,33.066890015741116,0.2666619457304477,0.4780495353043079,0.7989823799580336,0.1018523716115859,0.255582869351613,-0.0767030124954196,-0.7105077739599138,0.9968539325842696,45.81826115660059,0.6177743077294461,0.8543165687376593,1.5524376816532524,37.7133179871168,0.5544334016740322,0.4677012581378221,0.9020658480003476,0.2339139729562127,-0.1131676450461276,-0.1324745476921988,-0.7086083421976074,0.9986516853932584,0.8725637240313302,0.3772922472515007,0.1262087265356994,0.0769422600708845,0.1042438412747032,0.006396982226625,0.036243121106409,0.1036155797319442,0.0060976043836755,0.0295160853255931,9.915345282211224,0.5571998962140551,0.1334746172135691,rl2,7UD-MlQsDB8PB3X-,5,2226.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
2025-09-20-19-57-29-000000,2101.0,70.03333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.24121779000221,0.603445968428603,0.5279971266628335,51.39799486610576,0.7342570695157965,0.5828006495832445,0.6688515189721999,93.63921265610796,0.0,70.03333333333333,4.263149250436462,42.24121779000221,0.603445968428603,1.0838179927578095,1.6250820448952183,46.70863323120258,0.274448899552226,0.4136878182180226,0.9396586418151855,0.1066852399803154,0.1441297636627583,-0.1945165084759841,-0.6824915489201935,0.9966666666666668,51.39799486610576,0.7342570695157965,1.1294849931230155,1.7592253718131683,50.64021980208703,0.4183544088155031,0.3321159575134516,0.909552078228444,0.1263751440828002,-0.1287425998879817,-0.0729658284170905,-0.6921459188344496,0.9966666666666668,0.9187481875251556,0.3035602287391105,0.0905246126702075,0.0859882944671952,0.1068390636594371,0.0069469921208106,0.0353037001500895,0.1047033892374699,0.0067446858163518,0.0298706622019252,10.493076285532496,0.5194187581544095,0.1689607823506541,rl2,7UD-MlQsDB8PB3X-,5,2101.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}",False,False,False,False,False,False,,True
