episode_hash,n_frames,duration_s,nan_left_ee,nan_right_ee,nan_head,nan_left_kp,nan_right_kp,nan_max,frozen_frac_left_ee,frozen_run_left_ee,frozen_frac_right_ee,frozen_run_right_ee,frozen_frac_head,frozen_run_head,frozen_frac_max,frozen_run_max_s,path_len_left,speed_mean_left,net_disp_left,path_len_right,speed_mean_right,net_disp_right,motion_energy,path_len_total,has_annotations,f_duration_s,f_log_duration,f_left_path,f_left_speed_mean,f_left_speed_std,f_left_speed_p90,f_left_acc_std,f_left_ext_x,f_left_ext_y,f_left_ext_z,f_left_bbox_vol,f_left_centroid_x,f_left_centroid_y,f_left_centroid_z,f_left_active_frac,f_right_path,f_right_speed_mean,f_right_speed_std,f_right_speed_p90,f_right_acc_std,f_right_ext_x,f_right_ext_y,f_right_ext_z,f_right_bbox_vol,f_right_centroid_x,f_right_centroid_y,f_right_centroid_z,f_right_active_frac,f_bimanual_speed_corr,f_hand_dist_mean,f_hand_dist_std,f_hand_dist_min,f_left_aperture_mean,f_left_aperture_std,f_left_aperture_range,f_right_aperture_mean,f_right_aperture_std,f_right_aperture_range,f_head_path,f_head_ext,f_head_rot_energy,lab,operator,scene,num_frames,task_description,objects
2025-09-27-21-06-03-000000,3412.0,113.73333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.627324911149756,0.3837055840910269,0.07502119773933068,56.320485257451445,0.4953428782537506,0.05933721734200127,0.43952423117238876,99.9478101686012,0.0,113.73333333333333,4.742610595109329,43.627324911149756,0.3837055840910269,0.6181753269331846,0.9141704933858996,23.709590687808742,0.3901386931538582,0.3885800577700138,0.30910713970661163,0.04686067821247196,0.17328949767390892,-0.26302566242230685,-0.6330515925880579,0.9873937261800059,56.320485257451445,0.4953428782537506,1.2125974164494089,1.0258487581333575,50.632336289108316,1.1189992483705282,0.7817862182855606,0.5636534355580807,0.49309427864743793,-0.28320055377504766,-0.10673713450722537,-0.6123770428592162,0.989152741131633,0.4863364557997829,0.4993831361668046,0.3527822563670449,0.12058984727633434,0.10322702339137932,0.004370427810997103,0.029464784481310166,0.10001422300802679,0.005295536021551164,0.030786903713189345,9.726311627098994,0.2550119970040454,0.22414188526665374,rl2,F1_iXodjWgQOjiF3,3,3412.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-09-27-21-10-46-000000,3776.0,125.86666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.16344580622537,0.31123268190377773,0.3160131964767101,62.39133764487892,0.4958251998268523,0.6978111310877759,0.403528940865315,101.55478345110429,0.0,125.86666666666666,4.8431366661939395,39.16344580622537,0.31123268190377773,0.47230178230587927,0.6689158465556484,17.041975619846195,0.3657262483611703,0.2587096616625786,0.3313789814710617,0.03135405658285212,0.08914701875508368,-0.42542151185502375,-0.6424967875719955,0.9888741721854305,62.39133764487892,0.4958251998268523,1.3262842209942438,1.0436383979087562,55.71267887097031,0.765636139549315,0.8141159191727638,0.6978291049599648,0.4349684438016523,-0.21150287624815542,-0.26220827930364204,-0.633974384245664,0.990728476821192,0.6136164647477046,0.3533150621428613,0.08433264423823247,0.13102023507064106,0.10091003560646804,0.005424098682814495,0.027612722422591926,0.09688594286493211,0.006805172655993042,0.02970192204071284,11.01118558411713,0.31029474617438707,0.19898401237608504,rl2,F1_iXodjWgQOjiF3,3,3776.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-09-27-21-42-08-000000,4415.0,147.16666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.37013606750837,0.3695296968793047,0.4406476844839318,77.15785181424494,0.524407692439363,0.19397198930534626,0.4469686946593339,131.5279878817533,0.0,147.16666666666666,4.998337766285849,54.37013606750837,0.3695296968793047,0.6196986461724506,0.8210560356509335,23.82330844798736,0.4271385297179222,0.7320119738578796,0.6518090404570103,0.20380147047944758,-0.23697771233499118,0.11015340260714915,-0.7629765557296077,0.9934299954689624,77.15785181424494,0.524407692439363,0.6475074968884732,1.229827119679217,27.172130969058287,0.486257903277874,0.6120835244655609,0.6586122624576092,0.19602306486584517,0.07532517531709898,0.2529233878832268,-0.7755763736082028,0.9943362029904849,0.765307126838941,0.36734005229655114,0.07902510265265303,0.11340237208688018,0.1001026472970003,0.004428266006917725,0.03370982945829061,0.0931250877404749,0.007374275297991413,0.03408959324385291,14.494262480900574,0.5236620803147344,0.19652701182798363,rl2,F1_iXodjWgQOjiF3,4,4415.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-09-27-21-46-02-000000,3601.0,120.03333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.63225430695661,0.6719354525579719,0.33947466896569317,94.78276211698915,0.7898563509749096,0.2769151734496634,0.7308959017664407,175.41501642394576,0.0,120.03333333333333,4.79606598975218,80.63225430695661,0.6719354525579719,1.1403218004431548,1.474481176371372,47.25615914512125,0.5361207649111748,0.5178028454538435,0.508878767490387,0.14126721777358484,0.07409884658003558,-0.28028886008196113,-0.6984917393424418,0.9972222222222222,94.78276211698915,0.7898563509749096,1.4347247952865783,1.572090512428254,61.31170196551972,0.5232356619089842,0.634498193860054,0.5642235279083252,0.18731774399442241,-0.19358082872320673,-0.022401204487191573,-0.7158880284662811,0.9983333333333333,0.8449907614043412,0.40156920736578366,0.08724721801048013,0.13117023588131774,0.10380655998504677,0.0047814128527741105,0.029742736573487596,0.1018309908815129,0.005639009722870895,0.0313481546783763,18.788242311325288,0.4330966719948847,0.33703637647524276,rl2,F1_iXodjWgQOjiF3,4,3601.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-09-27-22-01-47-000000,3878.0,129.26666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.52884546405087,0.5844378034360397,0.2827323349462023,88.59728510546122,0.6855606275893311,0.2651948980316457,0.6349992155126853,164.1261305695121,0.0,129.26666666666668,4.869583631500518,75.52884546405087,0.5844378034360397,0.8332889358822444,1.1638086415830278,33.51262961217767,0.789341326802969,0.5397036802023649,0.652340829372406,0.2779039900591698,-0.12100877959757675,-0.2853808655896353,-0.7690548838623917,0.9984524116584989,88.59728510546122,0.6855606275893311,1.1069942009387488,1.3739081606581938,46.09782019027313,0.6116062067449093,0.7060737982392311,0.5115692466497421,0.2209156119740077,-0.10935767918922472,0.1687559033538967,-0.7460322908657522,1.0,0.7805829736289177,0.48774586333057574,0.1281768854192921,0.06936737985392995,0.10229769338767822,0.0044385102036519535,0.028329626764940885,0.09901618901697688,0.006260640822654695,0.032337377848170104,24.593726850871796,0.5822960091757469,0.299689954233433,rl2,F1_iXodjWgQOjiF3,8,3878.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-09-27-22-06-08-000000,4675.0,155.83333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1787762452681,0.5531372031146861,0.21626220758743553,111.65983775204442,0.7166870202313507,0.3820758726372824,0.6349121116730184,197.8386139973125,0.0,155.83333333333334,5.055183670357325,86.1787762452681,0.5531372031146861,0.8376467744511594,1.2153103013353095,34.42182877454953,0.7324936613440514,0.6739407181739807,0.7121232002973557,0.3515448193057455,-0.1767774660381324,-0.29367991346054095,-0.718428263585357,0.998288403936671,111.65983775204442,0.7166870202313507,0.9935302524028783,1.628650163057501,43.10352959482885,0.6733026094734669,0.663353830575943,0.7034618631005287,0.3141927047362977,-0.127096722293807,0.10108444200932325,-0.7212944909348527,0.998502353444587,0.7361707767391984,0.43895237049923097,0.1143548851170072,0.08215064208681172,0.10143285277646111,0.005241923329064097,0.030701709454656403,0.09791394383482738,0.008407434319012674,0.033354969333845325,25.608267428065222,0.6658799849111656,0.2514845066234388,rl2,F1_iXodjWgQOjiF3,8,4675.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-09-27-22-20-20-000000,3879.0,129.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.23425695342182,0.5897441228990857,0.3458203211140936,86.4653019153491,0.6688909379733039,0.7517551955247779,0.629317530436195,162.6995588687709,0.0,129.3,4.869839484130799,76.23425695342182,0.5897441228990857,0.8715274518830136,1.2808285209510788,33.62419461065561,0.48131774086505175,0.5170549489557743,0.6190295219421387,0.15405646569787612,0.2546235235939996,0.17752234458117347,-0.7766932735095229,0.9979370809695719,86.4653019153491,0.6688909379733039,1.1784191414976342,1.3100534847858207,47.0391055827316,0.841637521982193,0.391444556415081,0.573183573782444,0.1888378655536973,0.10295901379780184,-0.07557811130156922,-0.7912143457389947,0.9987106756059825,0.8099508383015437,0.3225712570802149,0.05487087292290057,0.11844664700685362,0.104441174867343,0.004369875074957196,0.027852628995152853,0.10117132825345262,0.004784825582896841,0.02787680292463525,25.188810536466722,0.5811314783859403,0.292216892373209,rl2,F1_iXodjWgQOjiF3,5,3879.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-09-27-22-24-24-000000,4533.0,151.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.26037972520592,0.4452364059479651,0.11012250033721811,96.59413332699333,0.6394139452360548,0.4033767467542985,0.54232517559201,163.85451305219925,0.0,151.1,5.024538199265247,67.26037972520592,0.4452364059479651,0.6855148168337213,0.9783434594435655,25.9261308808337,0.4741054307669401,0.5194829776883125,0.5185489878058434,0.1277132751154453,0.2675256490959695,0.004033464430905336,-0.769190706933949,0.999117387466902,96.59413332699333,0.6394139452360548,0.8181642060277828,1.421842941938953,35.03440366697713,0.5856909900903702,0.6473595574498177,0.6561432778835297,0.24877846924727495,0.039541711554731684,-0.20624175122728203,-0.7817693569576427,0.999558693733451,0.6601639238377475,0.33557602253520535,0.07253163226671241,0.11509669107670378,0.09835739346549,0.004679696772002825,0.027155971910424098,0.09002568478128628,0.008237396202485921,0.035673780154867274,21.95037531574976,0.6040429829797829,0.21750786589304022,rl2,F1_iXodjWgQOjiF3,5,4533.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-10-03-17-01-49-000000,3044.0,101.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.609008739746386,0.42992778908721385,0.07882031193458983,50.31941214905143,0.4960835900333693,0.3133992459230006,0.4630056895602916,93.92842088879782,0.0,101.46666666666667,4.629537542436386,43.609008739746386,0.42992778908721385,0.7110146619637072,0.9816502402537595,26.708291249551777,0.40335772186517715,0.5415019916836172,0.6635459288954735,0.1449310447136302,0.15678140818252767,-0.28232055319499993,-0.7547063997918532,0.994413407821229,50.31941214905143,0.4960835900333693,0.9029880678695683,1.12603358675256,34.967116950816866,0.5811886861920357,0.5080431438982487,0.4941413328051567,0.14590458128733597,-0.26550075842976895,-0.0008516375034969972,-0.7561630608560457,0.9980282615839632,0.8449477773865056,0.5183217950585947,0.1335289617781598,0.11676387090310583,0.1036012877004362,0.0048766625587968295,0.023374723251917695,0.1032030145505817,0.0051457679119830515,0.032625291280111685,14.556293877971086,0.5697744090605606,0.17600386803101428,rl2,5ES9O8onNvOcpl1T,7,3044.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
2025-10-03-17-06-00-000000,4110.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.45710847808555,0.43409911276285384,0.3802662153142754,84.7846594402468,0.6190167396464843,0.17232365747650796,0.526557926204669,144.24176791833236,0.0,137.0,4.927253685157205,59.45710847808555,0.43409911276285384,0.7341496054472598,0.9462426533880015,29.02089117723863,0.7067326158285141,0.5202675741165876,0.46674706786870956,0.17161825906330483,-0.030944888035646684,-0.38691174619017654,-0.6745194087933449,0.9963494767583354,84.7846594402468,0.6190167396464843,0.8109846977299409,1.5096424170648088,34.318121641329235,0.6070140097290277,0.6640168391168118,0.47466791421175003,0.19132322092250928,-0.2650031881959805,-0.07364899499579845,-0.6748586107398907,0.9973229496227792,0.6568399463450987,0.4364749808585863,0.11192828419048287,0.11458828179162552,0.09652795476533176,0.008615949769050262,0.032904610932418046,0.09330772573335187,0.009835312319146283,0.034345370639205786,16.13899510607721,0.46286837217638366,0.24132875400639903,rl2,F1_iXodjWgQOjiF3,6,4110.0,folding clothes,"{""short sleeve shirts"",""long sleeve shirts"",shorts}"
