episode_hash,status,total_frames,padded_len,sql_num_frames,n_annotations,fps,n_arrays
692ea127eee2f8cb10d0f738,ok,104,104,104.0,0,30,7
692eb08997ffd8ec9034028f,ok,182,182,182.0,0,30,7
692fe8dd6c1e69a4860825d9,ok,196,196,196.0,0,30,7
692fe8763c1dfb13a7a99ec0,ok,157,157,157.0,0,30,7
692ef313b07e0e30ff11329c,ok,197,197,197.0,0,30,7
692fe89fb108dc6b6c8bda38,ok,221,221,221.0,0,30,7
692ea28bd3d807884d4dd708,ok,166,166,166.0,0,30,7
692fe3fdd35e50f3aed1e3c5,ok,157,157,157.0,0,30,7
692eb74ff169106feb26b03b,ok,238,238,238.0,0,30,7
692e90ef7641010d043544ef,ok,222,222,222.0,0,30,7
6930852099946db9586cf528,ok,185,185,185.0,0,30,7
692eacffb0d3d3c9d2606a8e,ok,200,200,200.0,0,30,7
692eb652ba0400c7068a0051,ok,162,162,162.0,0,30,7
692ea124eee2f8cb10d0f727,ok,138,138,138.0,0,30,7
692ea7cdc609aae267b27972,ok,219,219,219.0,0,30,7
692ea49a727c13b350cb7c48,ok,212,212,212.0,0,30,7
692eb27ea0e165ab2e42e573,ok,180,180,180.0,0,30,7
692eb0eac621d7f4aac3ac2e,ok,102,102,102.0,0,30,7
692eb78b4e7eab2cafd26a97,ok,217,217,217.0,0,30,7
692feca3ff402550463ce6c3,ok,236,236,236.0,0,30,7
692eefe20ba268eb16564aaa,ok,204,204,204.0,0,30,7
692fedac44aaf21386afad43,ok,208,208,208.0,0,30,7
692ea94368228e362d9090b1,ok,226,226,226.0,0,30,7
692eb27fa0e165ab2e42e577,ok,204,204,204.0,0,30,7
692ea309ad0c9ef057d41ce3,ok,237,237,237.0,0,30,7
692fe953d51f8f46f2ad69e8,ok,211,211,211.0,0,30,7
692eb650ba0400c7068a003e,ok,227,227,227.0,0,30,7
692eadb13b319da763b71b99,ok,166,166,166.0,0,30,7
692fe8783c1dfb13a7a99ecd,ok,217,217,217.0,0,30,7
692f061f245e9187290071d7,ok,184,184,184.0,0,30,7
692ea946aec602a46af105e9,ok,232,232,232.0,0,30,7
6930855f76acbe36f0806bfa,ok,174,174,174.0,0,30,7
692ef46b5cec8e06f0b2db31,ok,235,235,235.0,0,30,7
692e9f04e2322e3b092b5d94,ok,235,235,235.0,0,30,7
692e991a1e78e176ba6cf779,ok,178,178,178.0,0,30,7
692ea84674b24813e75975be,ok,186,186,186.0,0,30,7
692eb27da0e165ab2e42e56a,ok,161,161,161.0,0,30,7
692e9644c609aae267b27746,ok,229,229,229.0,0,30,7
693084263fa7d23d994d12ff,ok,209,209,209.0,0,30,7
692eadaf3b319da763b71b8f,ok,208,208,208.0,0,30,7
692e9eb05aae241ad236ecb6,ok,194,194,194.0,0,30,7
692ea62d95aad87d3e344612,ok,183,183,183.0,0,30,7
692e87215aae241ad236ea0d,ok,231,231,231.0,0,30,7
692e8586aec602a46af10264,ok,179,179,179.0,0,30,7
6930852199946db9586cf531,ok,196,196,196.0,0,30,7
692fe49e2e52e483fcfb3fc0,ok,206,206,206.0,0,30,7
692fe8773c1dfb13a7a99ec6,ok,196,196,196.0,0,30,7
692eb2f0727c13b350cb7d52,ok,363,363,363.0,0,30,7
692fe3fbd35e50f3aed1e3b5,ok,168,168,168.0,0,30,7
692eadb76974927fef249d35,ok,171,171,171.0,0,30,7
692eb170d3d807884d4dd846,ok,223,223,223.0,0,30,7
692eb651ba0400c7068a004b,ok,156,156,156.0,0,30,7
692eb3fb96d2056439f01994,ok,197,197,197.0,0,30,7
692eaa08e2322e3b092b5f2e,ok,197,197,197.0,0,30,7
692eb78a4e7eab2cafd26a8a,ok,195,195,195.0,0,30,7
692ea62d95aad87d3e34460d,ok,221,221,221.0,0,30,7
692ef313b07e0e30ff11329e,ok,170,170,170.0,0,30,7
692fe79e34a99e18e25289a6,ok,220,220,220.0,0,30,7
692fe49e2e52e483fcfb3fbf,ok,229,229,229.0,0,30,7
692eb28d21fc595fbe6f9602,ok,229,229,229.0,0,30,7
692eb280a0e165ab2e42e584,ok,106,106,106.0,0,30,7
6930852199946db9586cf53a,ok,191,191,191.0,0,30,7
692ea319ba0400c70689fe88,ok,154,154,154.0,0,30,7
692fe5eea48e122f8325d3bb,ok,157,157,157.0,0,30,7
